DATE,IR3TIB01FRM156N
1970-01-01,10.35
1970-02-01,9.86
1970-03-01,9.55
1970-04-01,8.95
1970-05-01,9.02
1970-06-01,9.59
1970-07-01,9.1
1970-08-01,8.64
1970-09-01,8.28
1970-10-01,8.28
1970-11-01,7.96
1970-12-01,7.52
1971-01-01,6.67
1971-02-01,6.29
1971-03-01,6.17
1971-04-01,5.99
1971-05-01,6.53
1971-06-01,6.95
1971-07-01,6.29
1971-08-01,6.41
1971-09-01,6.41
1971-10-01,6.18
1971-11-01,5.87
1971-12-01,5.68
1972-01-01,5.39
1972-02-01,5.41
1972-03-01,4.97
1972-04-01,5.11
1972-05-01,5.42
1972-06-01,4.89
1972-07-01,4.85
1972-08-01,4.73
1972-09-01,4.78
1972-10-01,5.82
1972-11-01,6.81
1972-12-01,7.9
1973-01-01,7.72
1973-02-01,7.89
1973-03-01,7.8
1973-04-01,7.68
1973-05-01,7.84
1973-06-01,8
1973-07-01,8.94
1973-08-01,9.41
1973-09-01,10.37
1973-10-01,11.36
1973-11-01,11.18
1973-12-01,11.36
1974-01-01,13.43
1974-02-01,12.49
1974-03-01,12.33
1974-04-01,12.27
1974-05-01,12.78
1974-06-01,13.74
1974-07-01,14.13
1974-08-01,13.97
1974-09-01,13.92
1974-10-01,13.38
1974-11-01,12.26
1974-12-01,11.53
1975-01-01,11.03
1975-02-01,9.79
1975-03-01,8.94
1975-04-01,8.24
1975-05-01,7.58
1975-06-01,7.26
1975-07-01,7.33
1975-08-01,7.12
1975-09-01,7.05
1975-10-01,7.01
1975-11-01,6.98
1975-12-01,6.75
1976-01-01,6.41
1976-02-01,7.43
1976-03-01,7.84
1976-04-01,7.68
1976-05-01,7.8
1976-06-01,7.99
1976-07-01,8.48
1976-08-01,9.61
1976-09-01,9.59
1976-10-01,10.34
1976-11-01,10.54
1976-12-01,10.57
1977-01-01,10.02
1977-02-01,9.84
1977-03-01,9.96
1977-04-01,9.39
1977-05-01,9.14
1977-06-01,9.04
1977-07-01,8.72
1977-08-01,8.49
1977-09-01,8.38
1977-10-01,8.45
1977-11-01,9.31
1977-12-01,9.85
1978-01-01,9.26
1978-02-01,10.47
1978-03-01,9.91
1978-04-01,8.44
1978-05-01,8.24
1978-06-01,7.93
1978-07-01,7.63
1978-08-01,7.45
1978-09-01,7.4
1978-10-01,7.37
1978-11-01,7.11
1978-12-01,6.67
1979-01-01,6.57
1979-02-01,6.88
1979-03-01,7.1
1979-04-01,7
1979-05-01,7.61
1979-06-01,8.68
1979-07-01,9.94
1979-08-01,10.84
1979-09-01,11.69
1979-10-01,12.13
1979-11-01,12.77
1979-12-01,12.59
1980-01-01,12.37
1980-02-01,12.63
1980-03-01,13.99
1980-04-01,12.94
1980-05-01,12.65
1980-06-01,12.35
1980-07-01,11.93
1980-08-01,11.27
1980-09-01,11.83
1980-10-01,11.73
1980-11-01,11.26
1980-12-01,11.56
1981-01-01,11.43
1981-02-01,11.9
1981-03-01,12.57
1981-04-01,13
1981-05-01,15.9
1981-06-01,18.92
1981-07-01,17.29
1981-08-01,17.44
1981-09-01,17.59
1981-10-01,16.46
1981-11-01,15.35
1981-12-01,15.26
1982-01-01,15.07
1982-02-01,14.52
1982-03-01,15.25
1982-04-01,16.36
1982-05-01,16.19
1982-06-01,15.7
1982-07-01,14.63
1982-08-01,14.48
1982-09-01,14.06
1982-10-01,13.45
1982-11-01,12.97
1982-12-01,12.71
1983-01-01,12.58
1983-02-01,12.9
1983-03-01,12.65
1983-04-01,12.13
1983-05-01,12.56
1983-06-01,12.63
1983-07-01,12.37
1983-08-01,12.37
1983-09-01,12.43
1983-10-01,12.45
1983-11-01,12.35
1983-12-01,12.19
1984-01-01,12.25
1984-02-01,12.45
1984-03-01,12.54
1984-04-01,12.48
1984-05-01,12.2
1984-06-01,12.23
1984-07-01,11.78
1984-08-01,11.41
1984-09-01,11.05
1984-10-01,10.8
1984-11-01,10.55
1984-12-01,10.69
1985-01-01,10.46
1985-02-01,10.63
1985-03-01,10.73
1985-04-01,10.48
1985-05-01,10.18
1985-06-01,10.2
1985-07-01,9.98
1985-08-01,9.81
1985-09-01,9.62
1985-10-01,9.32
1985-11-01,8.96
1985-12-01,8.95
1986-01-01,8.96
1986-02-01,8.81
1986-03-01,8.31
1986-04-01,7.61
1986-05-01,7.24
1986-06-01,7.24
1986-07-01,7.13
1986-08-01,7.11
1986-09-01,7.08
1986-10-01,7.41
1986-11-01,7.51
1986-12-01,8.104
1987-01-01,8.5817
1987-02-01,8.4777
1987-03-01,7.9622
1987-04-01,8
1987-05-01,8.2203
1987-06-01,8.3318
1987-07-01,7.9541
1987-08-01,8.004
1987-09-01,7.9766
1987-10-01,8.3276
1987-11-01,8.787
1987-12-01,8.6043
1988-01-01,8.3286
1988-02-01,7.6767
1988-03-01,8.0388
1988-04-01,8.1286
1988-05-01,7.9335
1988-06-01,7.3927
1988-07-01,7.4456
1988-08-01,7.746
1988-09-01,7.9904
1988-10-01,8.0152
1988-11-01,8.1401
1988-12-01,8.4698
1989-01-01,8.6835
1989-02-01,9.2355
1989-03-01,9.158
1989-04-01,8.7464
1989-05-01,8.9219
1989-06-01,8.9995
1989-07-01,9.1782
1989-08-01,9.0973
1989-09-01,9.3491
1989-10-01,10.0217
1989-11-01,10.5083
1989-12-01,10.8863
1990-01-01,11.3332
1990-02-01,11.046
1990-03-01,10.6716
1990-04-01,10.0167
1990-05-01,9.8143
1990-06-01,10.0737
1990-07-01,10.0501
1990-08-01,10.1915
1990-09-01,10.3466
1990-10-01,10.0364
1990-11-01,10.003
1990-12-01,10.2737
1991-01-01,10.2747
1991-02-01,9.7937
1991-03-01,9.4259
1991-04-01,9.3466
1991-05-01,9.2344
1991-06-01,9.7066
1991-07-01,9.593
1991-08-01,9.5992
1991-09-01,9.4302
1991-10-01,9.325
1991-11-01,9.5406
1991-12-01,10.1104
1992-01-01,9.9822
1992-02-01,10.0471
1992-03-01,10.1195
1992-04-01,10.0409
1992-05-01,9.9674
1992-06-01,10.1126
1992-07-01,10.2229
1992-08-01,10.3892
1992-09-01,11.0405
1992-10-01,11.1165
1992-11-01,9.7556
1992-12-01,11.341
1993-01-01,12.1036
1993-02-01,12.0578
1993-03-01,11.292
1993-04-01,9.0996
1993-05-01,7.6392
1993-06-01,7.3169
1993-07-01,8.0968
1993-08-01,7.9281
1993-09-01,7.2893
1993-10-01,6.9791
1993-11-01,6.721
1993-12-01,6.5189
1994-01-01,6.3185
1994-02-01,6.2992
1994-03-01,6.247
1994-04-01,6.0139
1994-05-01,5.642
1994-06-01,5.5647
1994-07-01,5.6413
1994-08-01,5.5989
1994-09-01,5.6268
1994-10-01,5.6477
1994-11-01,5.6119
1994-12-01,5.9482
1995-01-01,5.9223
1995-02-01,5.8157
1995-03-01,8.0643
1995-04-01,7.7796
1995-05-01,7.4723
1995-06-01,7.1956
1995-07-01,6.4612
1995-08-01,5.942
1995-09-01,5.9635
1995-10-01,6.8688
1995-11-01,5.8904
1995-12-01,5.5625
1996-01-01,4.6996
1996-02-01,4.4096
1996-03-01,4.2709
1996-04-01,3.9982
1996-05-01,3.9046
1996-06-01,3.9671
1996-07-01,3.8392
1996-08-01,3.9608
1996-09-01,3.7494
1996-10-01,3.5144
1996-11-01,3.4691
1996-12-01,3.4446
1997-01-01,3.3532
1997-02-01,3.3303
1997-03-01,3.3646
1997-04-01,3.3996
1997-05-01,3.4778
1997-06-01,3.4323
1997-07-01,3.3907
1997-08-01,3.4274
1997-09-01,3.4098
1997-10-01,3.5904
1997-11-01,3.6873
1997-12-01,3.6906
1998-01-01,3.6184
1998-02-01,3.5686
1998-03-01,3.5694
1998-04-01,3.6273
1998-05-01,3.6073
1998-06-01,3.5716
1998-07-01,3.5634
1998-08-01,3.5578
1998-09-01,3.5374
1998-10-01,3.5555
1998-11-01,3.5856
1998-12-01,3.323
1999-01-01,3.1321
1999-02-01,3.0934
1999-03-01,3.0467
1999-04-01,2.6965
1999-05-01,2.579
1999-06-01,2.6267
1999-07-01,2.6765
1999-08-01,2.695
1999-09-01,2.7267
1999-10-01,3.3757
1999-11-01,3.4677
1999-12-01,3.446
2000-01-01,3.3431
2000-02-01,3.5368
2000-03-01,3.747
2000-04-01,3.9253
2000-05-01,4.362
2000-06-01,4.5017
2000-07-01,4.5829
2000-08-01,4.7771
2000-09-01,4.8528
2000-10-01,5.0413
2000-11-01,5.092
2000-12-01,4.9392
2001-01-01,4.7707
2001-02-01,4.7558
2001-03-01,4.7086
2001-04-01,4.682
2001-05-01,4.6367
2001-06-01,4.4536
2001-07-01,4.4671
2001-08-01,4.3535
2001-09-01,3.9829
2001-10-01,3.5999
2001-11-01,3.3857
2001-12-01,3.3449
2002-01-01,3.3388
2002-02-01,3.3571
2002-03-01,3.3908
2002-04-01,3.4069
2002-05-01,3.4671
2002-06-01,3.464
2002-07-01,3.41
2002-08-01,3.3519
2002-09-01,3.3101
2002-10-01,3.2613
2002-11-01,3.1241
2002-12-01,2.941
2003-01-01,2.8318
2003-02-01,2.6875
2003-03-01,2.53
2003-04-01,2.5333
2003-05-01,2.4005
2003-06-01,2.1519
2003-07-01,2.13
2003-08-01,2.1404
2003-09-01,2.1473
2003-10-01,2.1436
2003-11-01,2.159
2003-12-01,2.1463
2004-01-01,2.0895
2004-02-01,2.0705
2004-03-01,2.0288
2004-04-01,2.0488
2004-05-01,2.0859
2004-06-01,2.1127
2004-07-01,2.116
2004-08-01,2.1143
2004-09-01,2.1186
2004-10-01,2.1473
2004-11-01,2.1703
2004-12-01,2.1732
2005-01-01,2.1454
2005-02-01,2.1383
2005-03-01,2.1372
2005-04-01,2.1372
2005-05-01,2.1256
2005-06-01,2.111
2005-07-01,2.1194
2005-08-01,2.1325
2005-09-01,2.1391
2005-10-01,2.1966
2005-11-01,2.3609
2005-12-01,2.4729
2006-01-01,2.5117
2006-02-01,2.6004
2006-03-01,2.7226
2006-04-01,2.7938
2006-05-01,2.889
2006-06-01,2.9857
2006-07-01,3.1022
2006-08-01,3.2265
2006-09-01,3.3354
2006-10-01,3.502
2006-11-01,3.5972
2006-12-01,3.6842
2007-01-01,3.7519
2007-02-01,3.8182
2007-03-01,3.8909
2007-04-01,3.9753
2007-05-01,4.0714
2007-06-01,4.1478
2007-07-01,4.2162
2007-08-01,4.5436
2007-09-01,4.7417
2007-10-01,4.6874
2007-11-01,4.6385
2007-12-01,4.8484
2008-01-01,4.4815
2008-02-01,4.3621
2008-03-01,4.5964
2008-04-01,4.7835
2008-05-01,4.8574
2008-06-01,4.9405
2008-07-01,4.961
2008-08-01,4.9652
2008-09-01,5.0192
2008-10-01,5.1131
2008-11-01,4.2383
2008-12-01,3.2926
2009-01-01,2.4565
2009-02-01,1.9431
2009-03-01,1.6355
2009-04-01,1.4223
2009-05-01,1.2817
2009-06-01,1.2279
2009-07-01,0.975
2009-08-01,0.8605
2009-09-01,0.7721
2009-10-01,0.7375
2009-11-01,0.7162
2009-12-01,0.712
2010-01-01,0.6797
2010-02-01,0.6617
2010-03-01,0.645
2010-04-01,0.6447
2010-05-01,0.6865
2010-06-01,0.7276
2010-07-01,0.8488
2010-08-01,0.8955
2010-09-01,0.8805
2010-10-01,0.9977
2010-11-01,1.042
2010-12-01,1.0217
2011-01-01,1.0172
2011-02-01,1.0867
2011-03-01,1.1755
2011-04-01,1.3212
2011-05-01,1.4251
2011-06-01,1.4886
2011-07-01,1.5976
2011-08-01,1.5521
2011-09-01,1.5365
2011-10-01,1.5759
2011-11-01,1.4847
2011-12-01,1.4261
2012-01-01,1.2222
2012-02-01,1.0483
2012-03-01,0.8585
2012-04-01,0.7443
2012-05-01,0.6849
2012-06-01,0.6589
2012-07-01,0.497
2012-08-01,0.3324
2012-09-01,0.2463
2012-10-01,0.2079
2012-11-01,0.192
2012-12-01,0.1855
2013-01-01,0.2049
2013-02-01,0.2234
2013-03-01,0.2061
2013-04-01,0.2089
2013-05-01,0.2012
2013-06-01,0.2103
2013-07-01,0.2214
2013-08-01,0.2259
2013-09-01,0.2232
2013-10-01,0.2258
2013-11-01,0.2234
2013-12-01,0.2735
2014-01-01,0.292
2014-02-01,0.2881
2014-03-01,0.3053
2014-04-01,0.3297
2014-05-01,0.3246
2014-06-01,0.2414
2014-07-01,0.205
2014-08-01,0.1916
2014-09-01,0.0971
2014-10-01,0.0826
2014-11-01,0.0809
2014-12-01,0.0809
2015-01-01,0.0627
2015-02-01,0.0482
2015-03-01,0.0272
2015-04-01,0.0047
2015-05-01,-0.0104
2015-06-01,-0.0139
2015-07-01,-0.0187
2015-08-01,-0.0277
2015-09-01,-0.037
2015-10-01,-0.0536
2015-11-01,-0.0876
2015-12-01,-0.1263
2016-01-01,-0.1461
2016-02-01,-0.1836
2016-03-01,-0.2285
2016-04-01,-0.2492
2016-05-01,-0.2572
2016-06-01,-0.2679
2016-07-01,-0.2945
2016-08-01,-0.2982
2016-09-01,-0.3016
2016-10-01,-0.309
2016-11-01,-0.3127
2016-12-01,-0.3158
2017-01-01,-0.3255
2017-02-01,-0.3286
2017-03-01,-0.3293
2017-04-01,-0.3304
2017-05-01,-0.3295
2017-06-01,-0.33
2017-07-01,-0.3304
2017-08-01,-0.3291
2017-09-01,-0.3294
2017-10-01,-0.3295
2017-11-01,-0.329
2017-12-01,-0.3279
2018-01-01,-0.3285
2018-02-01,-0.3285
2018-03-01,-0.3279
2018-04-01,-0.3285
2018-05-01,-0.3252
2018-06-01,-0.322
2018-07-01,-0.3207
2018-08-01,-0.319
2018-09-01,-0.3188
2018-10-01,-0.3177
2018-11-01,-0.3164
2018-12-01,-0.3119
2019-01-01,-0.308
2019-02-01,-0.3084
2019-03-01,-0.3092
2019-04-01,-0.3105
2019-05-01,-0.3119
2019-06-01,-0.3289
2019-07-01,-0.3649
2019-08-01,-0.4077
2019-09-01,-0.4176
2019-10-01,-0.4129
2019-11-01,-0.4013
2019-12-01,-0.3947
2020-01-01,-0.3911
2020-02-01,-0.4088
2020-03-01,-0.4166
2020-04-01,-0.254
2020-05-01,-0.272
2020-06-01,-0.376
2020-07-01,-0.4441
2020-08-01,-0.4797
2020-09-01,-0.4914
2020-10-01,-0.5091
2020-11-01,-0.5209
2020-12-01,-0.5381
2021-01-01,-0.5472
2021-02-01,-0.5411
2021-03-01,-0.5391
2021-04-01,-0.5382
2021-05-01,-0.5401
2021-06-01,-0.5429
2021-07-01,-0.5448
2021-08-01,-0.5476
2021-09-01,-0.545
2021-10-01,-0.5498
2021-11-01,-0.5674
2021-12-01,-0.582
2022-01-01,-0.5601
2022-02-01,-0.5315
2022-03-01,-0.4954
2022-04-01,-0.4479
2022-05-01,-0.3857
2022-06-01,-0.2392
2022-07-01,0.0366
2022-08-01,0.3947
2022-09-01,1.0109
2022-10-01,1.4277
2022-11-01,1.8252
2022-12-01,2.0635
2023-01-01,2.3449
2023-02-01,2.6403
2023-03-01,2.9106
2023-04-01,3.167
2023-05-01,3.3664
2023-06-01,3.5359
2023-07-01,3.6718
2023-08-01,3.7803
2023-09-01,3.88
2023-10-01,3.97
2023-11-01,3.97
2023-12-01,3.93
